id,name,quantity,volume,cover
1,Organic Valley Eggs,5650,600,7
2,ChefMaster Stainless Steel Mixing Bowls,5120,2000,15
3,Kirkland Signature Organic Milk,4880,1000,45
4,Tide Liquid Laundry Detergent,2820,1500,60
5,General Mills Honey Nut Cheerios,1250,450,40
6,Bounty Paper Towels,3260,700,60
7,Kleenex Ultra Soft Tissues,3670,400,30
8,Dawn Ultra Dishwashing Liquid,1600,800,30
9,Colgate Total Whitening Toothpaste,1900,300,30
10,Listerine Cool Mint Mouthwash,2400,1200,30
11,Johnson's Baby Shampoo,2300,450,30
12,Quaker Oats Old Fashioned Oatmeal,2100,900,20
13,Nature Valley Crunchy Granola Bars,1700,350,20
14,Planters Deluxe Whole Cashews,1600,650,20
15,Sabra Classic Hummus,1400,250,14
16,Fage Total 0% Greek Yogurt,2000,500,21
17,Oscar Mayer Deli Fresh Turkey Breast,2800,450,45
18,Kellogg's Frosted Flakes,1800,600,60
19,Horizon Organic String Cheese,2850,150,21
20,Silk Almondmilk,1900,900,21
21,Tyson Grilled & Ready Chicken Breast Strips,1750,800,35
22,Ben & Jerry's Chocolate Chip Cookie Dough Ice Cream,2100,2400,120
23,DiGiorno Pepperoni Pizza,1200,2200,60
24,Stouffer's Macaroni & Cheese,1800,700,30
25,Amy's Organic Soups,190,550,60
26,Campbell's Chunky Classic Chicken Noodle Soup,200,750,30
27,Progresso Rich & Hearty Chicken & Homestyle Noodles Soup,320,850,30
28,Kirkland Signature Albacore Solid White Tuna,160,450,30
29,StarKist Chunk Light Tuna,170,400,30
30,Bumble Bee Solid White Albacore in Water,140,350,30
31,Blue Diamond Almonds,560,500,60
32,SunChips Multigrain Chips,770,550,30
33,Lay's Classic Potato Chips,1390,400,45
34,Doritos Nacho Cheese Tortilla Chips,1120,450,30
35,Cinnamon Toast Crunch Cereal,890,2000,120
